리뷰ID,작성자,프로필이미지,평점,작성일,상품옵션,구매자정보,리뷰라벨,리뷰내용
REVIEW_ITEM_4718759968,za****,https://phinf.pstatic.net/contact/20170227_38/1488199994552MD6pU_JPEG/image.jpg?type=f76_76,5,,구성: 싱글세트(1개),,,"백지영씨가 사용해보고 효과를 보셨다셔서 구매한건데 진짜 견인효과로 목디스크에 도움이 많이 되요. 늘 목의 통증 때문에 목이 우그러들어 펴지도 못했는데 넥가드닥터 처음엔 하루 3분씩 1~2번 사용했고, 2주째는 5분씩 1~2번 사용했는데 목이 생기고 통증도 많이 감소했어요. 타이머 꼭 맞추세요~
오버되면 몸에 안좋습니다.
 그리고 저처럼 목, 어깨 통증 있으신 분들은 넥가드닥터 사용하기전에 따뜻한물에 샤워나, 찬물+뜨거운물 섞어서 천천히 한잔 마시고 하시거나, 또는 도리도리 스트레칭이나 오일이나 로션으로 가볍게 목림프 마사지 하신 후 사용하면 더 좋아요.
예를 들자면 물리치료 가서 생각하면, 찜질부터 하고, 한두가지 치료 받고, 꼭 마지막에 견인 하잖아요. 
저는 몸이 충분히 이완된 상태에서 넥가드닥터를 사용하면 더 몸 컨디션이 올라가더라고요.
목 안좋으신 분들께 진심으로 추천하고요. 
개인적으로 허리디스크나 좌골신경통등 척추 안좋으신분들도 하시면 좋을것 같아요. 목 오른편에 신경다발이 온 몸으로 퍼져나가는데, 우선 목이 경직되어 있거나 통증이 있으면 자세가 안좋아져서 허리나 무릎쪽으로도 영향이 가더라고요. 
허리가 안좋으면, 균형을 못잡아 자세가 무너져서 연쇄적으로 목이 원래 안좋은데 더 안좋아지더라고요. 

복잡하게 이야기했는데...몸은 하나고, 신경은 다 연결되어, 이어져 있어서 복합적인 이유로 통증들이 발생을 합니다. 허리 자체의 문제일 수도 있지만, 혹은 허리가 아플때는 목의 신경이 눌렸거나 목의 통증으로 몸의 밸런스가 어긋나서일 수도 있어요.  그 예로 제가 그렇습니다ㅠㅠ
또는 두통이 있을때나 체했을때, 목이 눌려 신경이나 혈관이 눌려 있는 경우 혈액순환에 문제가 있다가 목의 견인을 하면 두통이 사라지기도,  위장이 보글보글 소리를 내며 소화가 되기도 합니다.
몸이 많이 안좋아 n년째 와병중이라 아프신 분들께 도움이 되었으면 해서 이야기가 길어졌네요.
병원6년 넘게 매일 통원치료 하고 있었는데, 이 제품이 훨씬 훨씬 훨씬 효자에 도움되었습니다.
좋은 견인기 정말 감사합니다."
REVIEW_ITEM_4704458471,3527******,https://phinf.pstatic.net/contact/20250407_43/1744014768100e35Sz_JPEG/image.jpg?type=f76_76,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"""가볍고 간편하게, 우리 가족의 목 건강을 지켜주는 넥가드닥터 NG100""

✅️사용후기
평소 컴퓨터 앞에 오래 앉아 있는 저, 그리고 늘 목이 뻐근하다고 하시던 엄마를 위해 현대메디칼 본사의 넥가드닥터 NG100을 구매하게 되었어요.

사실 이 제품을 처음 알게 된 건 우연히 보게 된 백지영님 유튜브 영상이었는데요. 사용법이 간단해 보이면서도후기들이 하나같이 ""효과 좋다""는 반응이라 호기심 반, 기대 반으로 저도 구매하게 되었답니다.

아무리 좋은 제품이라도 무겁거나 복잡하면 안 쓰게 되잖아요. 근데 이 제품은 가볍고, 사용 절차도 정말 간단해서 어렵지 않게 사용할 수 있었어요.

처음 사용할 땐 살짝 뻐근한 느낌이 있었는데 그게 오히려 근육이 풀리는 느낌으로 다가왔고, 이제는 하루 일과 끝나고 잠깐씩 사용하는 게 저와 엄마의 새로운 루틴이 되었답니다.

한 번 사용으로 모든 게 해결되진 않겠지만 꾸준히 사용할수록 효과가 기대되는 제품이에요.

저처럼 목 통증이 잦거나 가벼운 목 견인기를 찾는 분들께 추천드려요!

✅️한줄요약
사용법은 간단하지만, 효과는 강력한! 우리 가족의 목 건강 파트너예요.

#넥가드닥터NG100 #현대메디칼 #목견인기추천 #목디스크완화 #가정용견인기 #목통증완화템 #엄마선물추천 #백지영유튜브템 #목건강필수템 #일상케어아이템"
REVIEW_ITEM_4705197005,olch******,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"목디스크에 거북목이 있습니다.
폼룰러도 해보고 땅콩볼도 사용해보고 있으나 점점 시원함도 덜하고 게다가 요즘 어깨랑 팔에 통증이 있어서 병원을 다니는데 디스크때문일 수도  있다고 하셔서 물리치료 다니고 있었습니다.
그러다가 우연하게 백지영님 영상을 보고 호기심에 구매했습니다.
광고보고 구매한 적이 많지는 않지만 왠지 광고라 할지라도 안아프면 살겠어서 일단 구매!
예약구매라고 떠서 한참 기다려야 하나보다 생각했는데 금방왔어요~
일단 오자마자 뜯어서 설명서 읽어보고 해봤는데 자세가 맞는지 모르겠지만 살짝 불편한 것도 같고 잘안돼는거같고… 설명서에 처음엔 그럴 수 있다고 해서 다시 몇번 해보니 오~~~~ 폄한 자세를 찾았어요!! 그리고 목이 좀 편안하다고 해야하나 드라마틱하게 완젼 시원해요는 몇번 사용에 좀 오버인 듯하지만 하고나면 개운한건 분명 있었습니다~
남편도 해보고 어렵지않고 아픈게
아니니 할만하다고 하더라구여~

설명서랑 같이 온 업체의 이야기는 광고가 아닌
정말 선한 영향력이라고 해야하려나??
요즘 같이 모두가 힘들 때 우연한 기회가 또다른 선한 영향력으로 퍼지는거같아 기분도 좋았습니다~정말 좋은 제품은 오래오래 함께하면 좋은거니까~ 
재질상 손톱자국이 좀 나는게 너무 안타깝지만
머리 아플 때 10분에서 15분 명상하며 누워있어주면 개운함이 있어 사용할만 합니다"
REVIEW_ITEM_4701088714,now1***,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,,"거북목 증상으로 인해 일상생활에서 불편함을 많이 느끼고 있습니다
컴퓨터 앞에 앉아 있는 시간이 길어질수록 목과 어깨에 피로가 쌓이고, 자세가 망가지는 것을 뚜렷이 느끼고 있지요
어떻게든 이 상황을 개선하고자 다양한 방법을 찾아보던 중, 우연히 유튜브 쇼츠 알고리즘으로 이제사 알게되어 ‘넥가드닥터 NG100’이라는 주문했습니다

대략 3cm정도의 두께로 폭신폭신하면서
말랑말랑한한 내구력과 탄력이 좋은 듯한 제품이네요 
처음 사용했을 때, 목의 긴장이 풀리는 느낌이 들었고 뭔가 제자리를 찾아주는 기분과  자세를 바르게 안내해주는 느낌이 들기도 했습니다 처음 사용하니 익숙지 않기도 했지만 앞으로도 꾸준히 사용하면서 건강한 자세를 만들어가고 싶습니다  불편한 목을 위한 선택이었지만, 어느새 마음까지 편안해진 것 같네요
그리고 제품설명서를 읽다가 알게되었는데요
사장님께서 힘든 시기를 이겨내시고,
이제는 선한 영향력까지 펼치시는 모습이 정말 인상 깊었습니다.

사실 쇼츠 영상을 본 순간 바로 ‘이거다!’ 싶었고, 망설임 없이 주문했는데, 이미 수많은 분들이 구매하셨었네요
늘 나만모르고 있는지  나 원 참;;;;;;;
그래도 어제 주문했는데 오늘 수령했어요  
알고보니 작년에는 몇개월씩 기다리는 상황이었는데 지금은 완전 로켓배송이라 좋았습니다 

뭐든 과하지 않고 그리고 꾸준히 해야하는 법, 게으름 피우지않고 하루하루 조금씩 꾸준히 사용하도록 해보겠습니다"
REVIEW_ITEM_4711241944,siji****,https://phinf.pstatic.net/contact/20250418_28/1744950731658yhFCa_JPEG/image.jpg?type=f76_76,5,,구성: 싱글세트(1개),,,"거북목으로 고생하는 남편을 위해서 구매했어요.
머리는 큰편이고 목은짧아서 늘 목이 과부하걸리는지 늘 통증을 호소하거든요.
사용법은 부메랑처럼 제품을 반으로 접어서 누운상태로 목과 머리사이에 끼우면 됩니다.
반으로 덥혔던게 펴지면서 머리를 위로 견인해주면서 목을 빼주는 원리더라구요~
제품을 흰색면 회색면이 있는데 양쪽면모든 사용가능합니다.
매일 아침 저녁으로 사용중인데 처음엔 이게뭔가 하더니 이제는제법 익숙해져서 시원하다고 합니다.
한번 사용해보시길 추천드립니다"
REVIEW_ITEM_4696647699,teuk******,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,,"하루에 4~5회정도 10분씩 이용중입니다
작업하다가 목~어깨~등 구간이 뻐근해지면서 뭉치는 느낌 오면 누워서 해줘요

저는 경추 6, 7번 뼈가 붙어있는 퇴행성 목디스크 진단을 받았는데요.. 어떨땐 팔도 저리고 날개뼈 안쪽이 아프고 결리는 느낌이 심해서 잠도 못자고 일상생활도 너무 힘들었어요..

이 제품만 하고나면 100퍼센트 증상이 좋아진다! 이건 아닙니다. 하지만 꾸준히 스트레칭과 바른자세, 간단한 운동도 해주면서 이것도 해주면 내가 이정도면 그래도 살만하다..는 정도는 됩니다.. 이 제품을 이용하기 전과 후가 확실히 차이가 있습니다.

여성분들 손의 힘만으로 접기 어려우실것같은데요, 설명서 보면 쉽게 접을 수 있는 방법 나와있습니다.저는 무릎세워서 살짝 구부린 제품을 무릎 위에 놓고 상체로 살짝 눌러줍니다 그럼 잘 접혀요ㅎㅎ 머리풀고 하면 미끄러지기 때문에 머리묶고 목 뒤에 넣은 뒤에 머리 푸르시면 됩니다.

사용하면서 고정되는 부분을 위아래로 바꿔보다보면 이게 고정되는 부분에 따라 미묘하게 좀 더 목이 당겨지고, 덜 목이 당겨질 수 있다는 걸 깨닫게 됩니다. 저는 주로 몇분은 덜 당겨지게 했다가, 몇분은 더 당겨지게 했다가 하는식으로 번갈아가며 합니다. 본인이 이리저리 고정부위를 위아래로 조~금씩 이동시키면서 그 미세한 차이를 캐치해보시는 게 좋아요. 그럼 훨씬 더 유용한 사용이 가능합니다.

저는 매우 마음에 들어서 본가에서 하나 사놓으려고요ㅎㅎ 솔직히 목디스크가 얼마나 고통스러운가요.. 목어깨 아프고 등저리고결리고 가슴께 담오는 느낌에 팔저림까지..어떨땐 억울해서 눈물나는 날도 있었는데.. 4만원돈으로 이정도 효과볼 수 있으면 정말 좋은거라고 생각합니다."
REVIEW_ITEM_4718474757,lk****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,한달사용,한달사용한달동안 넥가드를 사용했는데 진짜 불편한점이 하나도 없었습니다. 목이 뻐근해서 유튜브를 보고 혹해서 산건데 제일 잘산템이 되어버렸어요 저녁에 바닥에 누워서 10분하면 목이 그렇게 편해질 수가 없습니다. 혼자쓰다가 오빠한테도 좋으니까 한번만 써봐!! 했는데 한번쓰더니 너무 마음에 든다고 저녁마다 가져가서 사용하네요. 이거만큼 목견인에 효과본건 없는거같아요 매일하다가 안쓰면 목이 뻐근해서 매일사용하게 되었어요! 가격도 착하고 망가지면 재구매 의사 1000000%입니다.
REVIEW_ITEM_4717210597,hyun****,https://phinf.pstatic.net/contact/20230309_16/1678323179926vypey_JPEG/KakaoTalk_20210524_163724218.jpg?type=f76_76,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"처음에는 하는 법을 몰라서 불편했는데 지금은 연습하니까 편안해졌어요.
목이 아픈 날이었는데 넥가드를 하니까 목이 시원해졌어요!!☺️
확실히 효과가 조금씩 있는 것 같아요
꾸준히 하면 목이 더 좋아질 것 같아요!☺️
접은 다음에  목에 두고 누울 때 수평을 잘 유지해서 놓으면 딱 끼워지더라구요
처음에는 계속 미끄러져서 잘 안 됐는데 요즘은 잘 됩니다.
목이 짧아서 그랬나 싶기도 해요"
REVIEW_ITEM_4713273151,lavi******,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,1,,구성: 싱글세트(1개),,,"흠... 이게 뭐죠...
견인기라길래 물리치료실의 견인기 비슷하게 접힌 양면이 서로 반대로 벌어지면서 늘어나는 느낌인 줄 알았더니 전혀 아니고 그냥 목 받히고 있는 느낌정도
가벼우니 여행갈때 갖고갈 수는 있겠네요
하기 전 머리를 묶지않으면 따가워서 저처럼 드라이 많이 하고 웨이브 신경쓰는 사람은 곤란
이정도 느낌으로는 비싸다고 생각
사진에 보듯이 세번 썼는데 벌써 자잘한 갈라짐이  보여서 어찌될지 모르겠음"
REVIEW_ITEM_4709718100,kjs1****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"목때매 어깨까지 너무 아팠던 사람입니다

유튜브 보다가 백지영님이 사용한다는 쇼츠를 보게되었고 구입해 일주일정도 사용했습니다 처음에는 효과가 있나 싶었지만 이틀정도 사용하는 머리가 맑아지는 느낌이 있어서 욕심내서 20분정도 사용하고 뺐다가 전기오는느낌? 그런느낌있어서 이제는 십분만 사용합니다 ㅋㅋㅋ 너무 시원해요

같이 일하는 동료들한테도 얘기했더니 이미 다들 알고있더라고요;; 저만 몰랐어요"
